Date,Close,
2015-09-15,45.91,
2015-09-14,45.87,
2015-09-11,46.87,
2015-09-10,47.77,
2015-09-09,48.04,
2015-09-08,48.88,
2015-09-04,48.59,
2015-09-03,50.41,
2015-09-02,47.67,
2015-09-01,48.80,
2015-08-31,47.97,
2015-08-28,47.97,
2015-08-27,44.46,
2015-08-26,41.76,
2015-08-25,41.86,
2015-08-24,41.59,
2015-08-21,43.84,
2015-08-20,45.63,
2015-08-19,45.75,
2015-08-18,47.00,
2015-08-17,47.77,
2015-08-14,47.79,
2015-08-13,48.01,
2015-08-12,48.29,
2015-08-11,47.33,
2015-08-10,48.30,
2015-08-07,47.54,
2015-08-06,47.80,
2015-08-05,49.04,
2015-08-04,49.08,
2015-08-03,49.49,
2015-07-31,53.29,
2015-07-30,54.29,
2015-07-29,54.73,
2015-07-28,54.30,
2015-07-27,54.07,
2015-07-24,54.29,
2015-07-23,55.76,
2015-07-22,56.36,
2015-07-21,55.94,
2015-07-20,56.42,
2015-07-17,56.38,
2015-07-16,57.31,
2015-07-15,57.34,
2015-07-14,57.20,
2015-07-13,57.63,
2015-07-10,57.72,
2015-07-09,57.83,
2015-07-08,55.70,
2015-07-07,54.72,
2015-07-06,57.19,
2015-07-02,61.73,
2015-07-01,61.65,
2015-06-30,60.31,
2015-06-29,59.03,
2015-06-26,60.14,
2015-06-25,60.24,
2015-06-24,61.63,
2015-06-23,61.67,
2015-06-22,60.54,
2015-06-19,59.41,
2015-06-18,61.37,
2015-06-17,60.75,
2015-06-16,60.75,
2015-06-15,60.99,
2015-06-12,63.19,
2015-06-11,63.76,
2015-06-10,64.68,
2015-06-09,63.23,
2015-06-08,61.33,
2015-06-05,60.36,
2015-06-04,60.34,
2015-06-03,62.78,
2015-06-02,63.14,
2015-06-01,62.87,
2015-05-29,63.16,
2015-05-28,60.12,
2015-05-27,61.35,
2015-05-26,61.65,
2015-05-22,64.70,
2015-05-21,64.70,
2015-05-20,63.52,
2015-05-19,63.48,
2015-05-18,65.15,
2015-05-15,64.69,
2015-05-14,65.58,
2015-05-13,66.33,
2015-05-12,65.09,
2015-05-11,62.82,
2015-05-08,63.82,
2015-05-07,64.93,
2015-05-06,66.22,
2015-05-05,65.44,
2015-05-04,64.62,
2015-05-01,64.13,
2015-04-30,63.90,
2015-04-29,63.97,
2015-04-28,62.61,
2015-04-27,62.86,
2015-04-24,62.96,
2015-04-23,62.66,
2015-04-22,60.12,
2015-04-21,60.12,
2015-04-20,61.20,
2015-04-17,61.31,
2015-04-16,60.13,
2015-04-15,59.32,
2015-04-14,57.69,
2015-04-13,57.14,
2015-04-10,56.82,
2015-04-09,56.04,
2015-04-08,56.42,
2015-04-07,57.55,
2015-04-06,55.73,
2015-04-02,55.73,
2015-04-01,55.73,
2015-03-31,53.69,
2015-03-30,53.99,
2015-03-27,56.44,
2015-03-26,57.02,
2015-03-25,54.18,
2015-03-24,53.61,
2015-03-23,53.82,
2015-03-20,53.88,
2015-03-19,52.96,
2015-03-18,52.59,
2015-03-17,52.17,
2015-03-16,52.00,
2015-03-13,54.80,
2015-03-12,56.66,
2015-03-11,56.46,
2015-03-10,55.95,
2015-03-09,58.67,
2015-03-06,59.15,
2015-03-05,60.33,
2015-03-04,59.18,
2015-03-03,61.18,
2015-03-02,60.75,
2015-02-27,61.89,
2015-02-26,61.39,
2015-02-25,59.77,
2015-02-24,60.33,
2015-02-23,59.78,
2015-02-20,60.99,
2015-02-19,58.78,
2015-02-18,60.72,
2015-02-17,60.78,
2015-02-13,60.33,
2015-02-12,56.23,
2015-02-11,53.48,
2015-02-10,55.79,
2015-02-09,57.00,
2015-02-06,55.88,
2015-02-05,55.98,
2015-02-04,55.07,
2015-02-03,54.41,
2015-02-02,51.74,
2015-01-30,47.52,
2015-01-29,46.61,
2015-01-28,47.07,
2015-01-27,46.55,
2015-01-26,46.07,
2015-01-23,46.69,
2015-01-22,46.09,
2015-01-21,46.50,
2015-01-20,46.49,
2015-01-16,47.38,
2015-01-15,47.66,
2015-01-14,45.82,
2015-01-13,45.13,
2015-01-12,46.90,
2015-01-09,47.64,
2015-01-08,49.43,
2015-01-07,49.06,
2015-01-06,50.12,
2015-01-05,51.08,
2015-01-02,55.38,
2014-12-31,55.27,
2014-12-30,55.60,
2014-12-29,57.86,
2014-12-26,58.72,
2014-12-24,58.67,
2014-12-23,59.07,
2014-12-22,58.31,
2014-12-19,58.87,
2014-12-18,58.81,
2014-12-17,59.84,
2014-12-16,60.26,
2014-12-15,61.09,
2014-12-12,61.67,
2014-12-11,63.65,
2014-12-10,63.32,
2014-12-09,66.11,
2014-12-08,65.64,
2014-12-05,68.00,
2014-12-04,68.48,
2014-12-03,70.13,
2014-12-02,71.13,
2014-12-01,70.87,
2014-11-28,71.89,
2014-11-26,77.39,
2014-11-25,77.62,
2014-11-24,79.62,
2014-11-21,79.20,
2014-11-20,77.61,
2014-11-19,77.21,
2014-11-18,77.23,
2014-11-17,76.86,
2014-11-14,77.51,
2014-11-13,77.74,
2014-11-12,80.42,
2014-11-11,80.94,
2014-11-10,82.90,
2014-11-07,83.20,
2014-11-06,82.08,
2014-11-05,82.88,
2014-11-04,82.12,
2014-11-03,84.90,
2014-10-31,84.17,
2014-10-30,85.50,
2014-10-29,86.91,
2014-10-28,85.57,
2014-10-27,85.64,
2014-10-24,86.00,
2014-10-23,85.94,
2014-10-22,86.38,
2014-10-21,85.17,
2014-10-20,84.42,
2014-10-17,85.27,
2014-10-16,84.02,
2014-10-15,84.02,
2014-10-14,86.36,
2014-10-13,87.82,
2014-10-10,88.66,
2014-10-09,90.47,
2014-10-08,90.25,
2014-10-07,90.90,
2014-10-06,90.65,
2014-10-03,90.80,
2014-10-02,91.29,
2014-10-01,94.57,
2014-09-30,94.67,
2014-09-29,95.70,
2014-09-26,95.08,
2014-09-25,95.20,
2014-09-24,94.53,
2014-09-23,94.87,
2014-09-22,95.37,
2014-09-19,96.75,
2014-09-18,96.82,
