Date,Open,High,Low,Close,Volume
15-Sep-15,12.55,13.16,12.44,13.04,4691323
14-Sep-15,12.47,12.75,12.15,12.59,4636973
11-Sep-15,13.05,13.27,12.29,12.53,8585005
10-Sep-15,13.34,13.67,12.98,13.21,5700563
9-Sep-15,13.51,14.07,12.97,13.35,6434804
8-Sep-15,13.73,13.80,13.33,13.37,4442188
4-Sep-15,13.76,13.89,13.09,13.40,6114123
3-Sep-15,14.11,14.70,13.78,14.23,4895799
2-Sep-15,14.47,14.93,13.52,14.17,6629314
1-Sep-15,14.63,15.15,14.03,14.25,9731355
31-Aug-15,14.18,15.50,13.94,15.23,9166628
28-Aug-15,13.72,14.78,13.58,14.39,7639705
27-Aug-15,12.52,14.34,12.46,13.86,9960171
26-Aug-15,12.49,12.76,11.94,12.18,8478507
25-Aug-15,12.43,13.16,11.99,12.24,8467430
24-Aug-15,11.83,12.49,11.46,11.75,7724907
21-Aug-15,12.39,13.07,12.37,12.61,7063447
20-Aug-15,12.58,13.19,12.41,12.49,5459305
19-Aug-15,12.77,13.30,12.43,12.57,5378003
18-Aug-15,12.89,12.97,12.52,12.83,4268146
17-Aug-15,12.84,13.52,12.83,13.02,4866171
14-Aug-15,13.02,13.48,12.86,12.93,4114924
13-Aug-15,13.99,14.17,12.73,12.95,7738432
12-Aug-15,13.54,14.40,13.39,14.20,6749981
11-Aug-15,13.48,13.61,12.89,13.45,6486973
10-Aug-15,13.19,14.40,13.12,13.86,8404940
7-Aug-15,14.17,14.50,13.07,13.15,6700335
6-Aug-15,13.68,14.43,13.58,14.29,7454653
5-Aug-15,14.83,15.00,13.58,13.90,7982544
4-Aug-15,15.15,15.34,13.62,14.46,13296978
3-Aug-15,16.37,16.40,15.11,15.26,6461935
31-Jul-15,16.80,16.93,16.34,16.52,4875912
30-Jul-15,16.73,16.99,16.41,16.85,7833748
29-Jul-15,17.65,17.65,16.25,16.68,8858581
28-Jul-15,16.63,19.44,16.18,17.75,15911162
27-Jul-15,17.32,17.71,17.05,17.35,9570448
24-Jul-15,17.60,17.79,17.22,17.64,7117641
23-Jul-15,17.61,18.05,17.55,17.84,11221723
22-Jul-15,17.24,17.63,17.00,17.39,8472932
21-Jul-15,17.03,18.23,16.97,17.55,8929528
20-Jul-15,16.57,17.28,15.47,16.66,14043827
17-Jul-15,18.13,18.20,17.12,17.21,11266953
16-Jul-15,19.00,19.04,18.15,18.20,5574410
15-Jul-15,20.10,20.24,18.76,18.93,6241617
14-Jul-15,19.90,20.51,19.53,20.03,5324370
13-Jul-15,19.82,20.02,19.13,19.91,4164325
10-Jul-15,20.14,20.45,19.41,19.64,3962254
9-Jul-15,20.29,20.89,20.24,20.25,6045583
8-Jul-15,20.51,20.67,19.85,20.03,4671590
7-Jul-15,21.17,21.26,20.21,20.58,7487797
6-Jul-15,21.43,21.86,21.30,21.40,6816150
2-Jul-15,20.90,22.04,20.81,21.79,8019613
1-Jul-15,21.65,21.68,20.28,20.93,8304568
30-Jun-15,22.14,22.32,21.44,21.74,8124198
29-Jun-15,22.05,23.52,21.96,22.03,7255177
26-Jun-15,22.62,22.84,22.23,22.39,4919625
25-Jun-15,23.42,23.49,22.25,22.78,6428619
24-Jun-15,23.91,24.28,23.37,23.42,4221776
23-Jun-15,23.74,24.00,23.28,23.91,4129365
22-Jun-15,23.60,24.10,23.42,23.76,3248044
19-Jun-15,24.03,24.11,23.41,23.49,4163098
18-Jun-15,24.90,25.02,23.84,24.17,3292809
17-Jun-15,25.01,25.21,24.13,24.91,4503391
