Date,Open,High,Low,Close,Volume
15-Sep-15,47.15,47.79,47.11,47.28,6678240
14-Sep-15,47.12,47.15,46.34,46.77,8768849
11-Sep-15,47.74,47.76,46.95,47.36,9270679
10-Sep-15,48.00,48.75,47.33,48.43,8847016
9-Sep-15,49.05,49.70,47.59,47.85,16203060
8-Sep-15,48.27,48.68,47.15,48.46,13561505
4-Sep-15,47.21,47.60,46.86,47.20,10521102
3-Sep-15,48.50,49.87,47.77,48.18,9703819
2-Sep-15,48.30,48.66,47.00,48.19,11265847
1-Sep-15,48.17,48.17,46.79,47.75,17192415
31-Aug-15,46.30,49.32,45.70,49.15,17775131
28-Aug-15,45.56,48.00,45.56,46.82,14901989
27-Aug-15,44.62,46.53,44.45,45.87,19431556
26-Aug-15,42.93,43.57,42.25,43.41,18990977
25-Aug-15,45.02,45.02,42.14,42.19,15891815
24-Aug-15,41.98,44.93,41.10,42.93,21256687
21-Aug-15,46.66,47.38,45.38,45.39,13905684
20-Aug-15,47.45,48.10,47.00,47.00,10554731
19-Aug-15,49.28,49.28,47.05,47.68,14528514
18-Aug-15,49.62,49.79,49.12,49.51,7310189
17-Aug-15,49.48,49.81,49.26,49.56,5807407
14-Aug-15,49.99,50.29,49.69,49.77,7851087
13-Aug-15,51.00,51.05,49.86,50.10,10045531
12-Aug-15,50.21,51.88,50.15,51.54,14037600
11-Aug-15,49.28,50.52,49.06,50.40,10713638
10-Aug-15,48.89,50.21,48.55,50.20,10574039
7-Aug-15,50.25,50.65,48.60,48.84,10286258
6-Aug-15,48.89,50.36,48.33,50.28,11641105
5-Aug-15,50.30,50.85,49.03,49.12,8047236
4-Aug-15,49.59,50.34,49.59,49.87,7690581
3-Aug-15,49.80,50.47,49.33,49.71,11241135
31-Jul-15,51.43,51.45,50.25,50.34,12202290
30-Jul-15,52.99,53.29,51.88,52.07,10081574
29-Jul-15,52.05,53.44,52.00,52.90,11816703
28-Jul-15,50.94,52.96,50.87,52.24,13384644
27-Jul-15,51.34,52.02,50.54,50.65,14268141
24-Jul-15,53.95,53.95,51.98,52.09,13241748
23-Jul-15,55.10,55.31,53.30,54.04,12065338
22-Jul-15,56.29,56.39,55.67,55.83,10373332
21-Jul-15,56.76,57.16,56.17,56.49,8424497
20-Jul-15,57.18,57.20,56.16,56.57,8086921
17-Jul-15,57.60,57.89,56.65,57.20,7363807
