Date,Open,High,Low,Close,Volume
15-Sep-15,76.43,77.69,76.21,77.17,11678095
14-Sep-15,75.52,76.00,74.96,75.77,10235464
11-Sep-15,75.94,76.25,75.09,75.79,11032075
10-Sep-15,75.73,75.80,74.31,75.66,11473311
9-Sep-15,77.43,78.20,74.75,74.92,11297445
8-Sep-15,77.53,77.56,76.24,76.84,9316497
4-Sep-15,77.30,77.63,76.45,76.67,11210025
3-Sep-15,78.70,79.42,77.69,78.26,12282635
2-Sep-15,79.75,79.75,77.23,78.06,14255864
1-Sep-15,78.76,79.39,77.52,78.19,17954185
31-Aug-15,80.01,81.08,77.92,80.99,16880412
28-Aug-15,77.72,81.20,77.58,80.43,23735371
27-Aug-15,75.00,78.12,74.56,77.64,21539601
26-Aug-15,71.72,73.10,70.94,73.09,17400442
25-Aug-15,74.93,75.02,69.84,70.02,21127982
24-Aug-15,70.55,75.38,69.58,72.12,24191930
21-Aug-15,78.87,79.59,75.71,75.76,18383555
20-Aug-15,80.66,81.29,79.24,79.24,11857241
19-Aug-15,82.87,82.91,80.67,80.91,13129019
18-Aug-15,83.08,83.77,82.82,83.44,9093385
17-Aug-15,84.46,84.51,83.11,83.23,12602499
14-Aug-15,85.78,86.42,85.29,85.99,7748930
13-Aug-15,86.03,86.34,85.45,85.85,9562433
12-Aug-15,85.00,87.11,84.92,86.79,11380674
11-Aug-15,84.38,85.98,83.60,85.78,9797380
10-Aug-15,84.20,86.10,83.88,85.89,8342004
7-Aug-15,84.71,85.26,83.43,83.75,7422037
6-Aug-15,83.56,85.58,82.89,85.19,9805030
5-Aug-15,85.44,86.00,83.87,84.03,11254620
4-Aug-15,85.74,86.90,84.68,85.21,8537190
3-Aug-15,87.28,87.33,85.32,85.60,14142213
31-Jul-15,91.52,91.75,88.01,88.48,19063381
30-Jul-15,93.45,93.81,92.75,93.03,6435725
29-Jul-15,91.98,93.40,91.44,93.25,9821523
28-Jul-15,89.45,92.69,89.43,92.40,11536851
27-Jul-15,89.86,90.09,88.74,89.14,10342743
24-Jul-15,92.78,92.78,90.35,90.60,11158429
23-Jul-15,93.57,94.07,92.70,92.94,7360651
22-Jul-15,93.51,94.33,93.29,93.51,9327496
21-Jul-15,93.00,94.14,93.00,93.90,7043079
20-Jul-15,93.30,93.49,92.59,92.94,6018088
17-Jul-15,94.23,94.39,92.90,93.15,8214191
16-Jul-15,94.28,94.73,93.90,94.48,6422701
15-Jul-15,95.04,95.70,93.89,94.24,6490360
14-Jul-15,94.40,95.79,94.39,95.55,5218610
13-Jul-15,94.31,94.89,94.15,94.60,5038824
10-Jul-15,94.53,94.95,94.07,94.41,5631910
9-Jul-15,94.90,95.21,93.76,93.78,7908996
8-Jul-15,94.59,95.09,93.26,93.56,7719125
7-Jul-15,94.41,95.48,93.50,95.27,11774876
6-Jul-15,95.06,95.56,94.48,94.77,8341632
2-Jul-15,96.36,96.67,95.72,95.87,6419079
1-Jul-15,96.30,96.62,95.55,96.09,7295347
30-Jun-15,97.45,97.66,96.22,96.47,9925372
29-Jun-15,97.50,97.96,96.60,96.69,8764550
26-Jun-15,98.24,98.69,97.81,98.60,10015533
25-Jun-15,99.45,99.66,98.29,98.34,6062807
24-Jun-15,99.98,100.68,99.27,99.27,7451884
23-Jun-15,99.96,100.43,99.54,100.09,5697930
22-Jun-15,99.83,100.37,99.37,100.29,6416085
19-Jun-15,99.72,100.17,99.46,99.47,10512046
18-Jun-15,100.26,100.90,100.15,100.25,7167979
17-Jun-15,100.83,101.17,99.52,99.76,8231073
16-Jun-15,99.20,100.44,98.81,100.04,8763706
15-Jun-15,99.45,100.06,99.13,99.29,6178081
12-Jun-15,100.52,100.69,99.63,99.87,6475549
11-Jun-15,101.87,102.20,100.94,101.12,5582880
10-Jun-15,102.52,102.58,101.52,101.83,7588426
9-Jun-15,100.70,101.25,100.22,100.42,7156959
8-Jun-15,101.29,101.39,99.95,100.42,8213862
5-Jun-15,101.18,103.10,100.99,101.59,6080925
4-Jun-15,101.89,102.37,100.98,101.39,6896416
3-Jun-15,102.40,103.38,102.12,102.17,5175666
2-Jun-15,102.65,103.11,102.11,102.58,5040002
1-Jun-15,103.47,103.75,102.49,102.63,5412416
29-May-15,103.14,103.57,102.67,103.00,6673374
28-May-15,102.96,103.42,102.38,103.24,5099925
27-May-15,103.20,103.78,102.73,103.11,5857534
26-May-15,104.22,104.44,102.93,103.29,8010150
22-May-15,105.09,105.55,104.86,104.89,4717179
21-May-15,105.97,106.27,105.30,105.49,6549347
20-May-15,105.42,105.90,104.76,105.25,6521187
19-May-15,106.05,106.31,105.00,105.02,7927644
18-May-15,107.50,107.51,106.58,106.65,6390598
15-May-15,107.21,108.33,106.94,108.03,5641588
