Date,Open,High,Low,Close,Volume
21-Sep-15,7.68,7.68,7.29,7.35,7186
18-Sep-15,7.88,7.98,7.42,7.42,14720
17-Sep-15,7.88,7.99,7.67,7.84,9186
16-Sep-15,7.70,7.92,7.70,7.80,5521
15-Sep-15,7.71,7.82,7.62,7.68,4535
14-Sep-15,7.97,7.97,7.29,7.86,9664
11-Sep-15,7.95,8.00,7.91,8.00,3051
10-Sep-15,7.93,8.00,7.93,8.00,11883
9-Sep-15,7.94,7.98,7.83,7.90,2516
8-Sep-15,7.47,8.00,7.47,7.92,12595
4-Sep-15,7.12,7.50,7.12,7.45,9419
3-Sep-15,7.42,7.50,7.06,7.32,15177
2-Sep-15,7.33,7.49,7.14,7.34,14127
1-Sep-15,7.27,7.37,7.13,7.30,7541
31-Aug-15,6.99,7.49,6.99,7.40,10478
28-Aug-15,7.32,7.39,7.13,7.28,5170
27-Aug-15,7.39,7.39,7.26,7.27,5510
26-Aug-15,7.08,7.33,7.00,7.16,23279
25-Aug-15,6.99,7.29,6.96,7.02,17542
24-Aug-15,7.09,7.40,6.85,7.03,23916
21-Aug-15,7.28,7.47,7.26,7.36,4826
20-Aug-15,7.73,7.73,6.97,7.50,15650
19-Aug-15,7.75,7.96,7.68,7.73,5788
18-Aug-15,7.74,8.00,7.61,7.68,12165
17-Aug-15,7.88,7.99,7.67,7.67,6017
14-Aug-15,7.90,7.99,7.69,7.77,10982
13-Aug-15,7.73,7.98,7.52,7.89,19441
12-Aug-15,7.92,7.92,7.59,7.73,23964
11-Aug-15,7.76,7.96,7.76,7.96,6913
10-Aug-15,7.91,7.92,7.78,7.92,14211
7-Aug-15,7.98,8.07,7.83,7.96,24553
6-Aug-15,8.30,8.32,7.98,8.02,29506
5-Aug-15,7.98,8.30,7.90,8.21,66934
4-Aug-15,7.35,7.79,7.25,7.60,17938
3-Aug-15,8.02,8.18,7.30,7.60,25310
31-Jul-15,7.60,7.76,7.50,7.61,15234
30-Jul-15,7.53,7.77,7.44,7.45,12846
29-Jul-15,7.28,8.01,7.21,7.32,34806
28-Jul-15,6.82,7.78,6.65,7.35,46001
27-Jul-15,6.10,6.67,6.10,6.57,13170
24-Jul-15,7.08,7.08,6.66,6.69,17752
23-Jul-15,7.61,7.61,6.85,7.14,50400
22-Jul-15,8.00,8.04,7.31,7.68,48071
21-Jul-15,8.13,8.29,8.08,8.10,8652
20-Jul-15,8.38,8.45,8.13,8.15,14132
17-Jul-15,8.50,8.50,8.39,8.39,11176
16-Jul-15,8.28,8.50,8.27,8.46,23441
15-Jul-15,8.48,8.55,8.25,8.44,18355
14-Jul-15,8.43,8.43,8.35,8.36,2102
13-Jul-15,8.41,8.44,8.10,8.30,11358
10-Jul-15,8.45,8.45,8.10,8.28,7370
9-Jul-15,8.36,8.36,8.04,8.07,7302
8-Jul-15,8.33,8.48,8.03,8.08,22356
