Date,Open,High,Low,Close,Volume
15-Sep-15,21.90,22.48,21.69,22.42,553599
14-Sep-15,21.87,22.21,21.47,22.08,687270
11-Sep-15,21.15,22.29,21.07,22.28,599183
10-Sep-15,20.86,21.90,20.86,21.58,620716
9-Sep-15,22.06,22.50,20.68,20.98,1158093
8-Sep-15,21.09,22.00,20.90,21.27,1177104
4-Sep-15,19.33,19.99,19.09,19.64,525553
3-Sep-15,19.81,20.15,19.26,19.73,619429
2-Sep-15,19.58,19.75,18.68,19.65,746573
1-Sep-15,19.30,19.95,18.82,19.08,1205071
31-Aug-15,19.59,20.78,19.33,20.35,895949
28-Aug-15,19.10,20.33,18.99,19.97,1138761
27-Aug-15,20.01,20.35,18.65,19.11,2199435
26-Aug-15,18.95,19.10,17.77,19.00,1678585
25-Aug-15,17.97,20.28,17.13,17.35,3454853
24-Aug-15,14.56,17.19,14.32,15.67,2260772
21-Aug-15,17.73,17.88,16.80,16.82,2227283
20-Aug-15,21.70,21.70,18.08,18.35,2937689
19-Aug-15,22.95,22.95,21.14,21.42,1803827
18-Aug-15,23.85,24.19,22.78,23.31,1176957
17-Aug-15,22.67,22.98,22.24,22.98,594671
14-Aug-15,22.02,22.61,22.02,22.49,502266
13-Aug-15,21.95,22.66,21.80,22.06,649864
12-Aug-15,22.27,22.32,20.75,21.87,1876978
11-Aug-15,23.64,23.71,22.25,22.81,924362
10-Aug-15,23.01,23.70,22.83,23.70,486131
7-Aug-15,23.18,23.61,22.52,22.80,687197
6-Aug-15,23.69,24.10,22.91,23.12,839300
5-Aug-15,23.00,23.97,22.42,23.65,859461
4-Aug-15,22.59,23.00,22.08,22.32,702837
3-Aug-15,23.61,23.72,22.26,22.38,805928
31-Jul-15,24.04,24.34,23.64,23.86,471447
30-Jul-15,23.82,23.97,23.31,23.80,546385
29-Jul-15,23.59,24.36,23.38,23.98,751744
28-Jul-15,23.31,23.88,22.50,23.59,653588
27-Jul-15,22.37,22.88,21.53,22.86,1428242
24-Jul-15,24.82,24.85,23.57,23.94,1257263
23-Jul-15,25.90,26.03,24.84,24.90,809264
22-Jul-15,26.13,26.49,25.54,25.69,673770
21-Jul-15,26.37,27.00,26.03,26.64,446324
20-Jul-15,27.19,27.28,26.16,26.39,664987
17-Jul-15,27.01,27.35,26.61,26.93,933167
16-Jul-15,26.30,26.99,26.25,26.84,935378
15-Jul-15,26.20,26.68,25.59,25.92,1076707
14-Jul-15,26.31,27.42,25.94,26.40,1479035
13-Jul-15,25.96,26.70,25.91,26.48,1045610
10-Jul-15,25.86,26.20,25.00,25.34,1202232
9-Jul-15,25.27,25.29,24.20,24.45,1500346
8-Jul-15,23.71,24.28,23.12,23.16,2102027
7-Jul-15,25.89,25.93,23.82,25.52,2950173
6-Jul-15,28.02,28.07,26.36,26.47,1819916
2-Jul-15,28.81,28.92,28.42,28.76,598802
1-Jul-15,30.19,30.37,28.73,28.82,811416
30-Jun-15,28.97,29.86,28.84,29.52,1151536
29-Jun-15,29.36,30.15,28.17,28.27,1984176
26-Jun-15,31.25,31.47,30.17,30.52,771375
25-Jun-15,32.04,32.28,31.30,31.55,628216
24-Jun-15,31.29,31.99,31.25,31.86,948574
23-Jun-15,30.87,31.45,30.67,31.36,681742
22-Jun-15,30.42,30.98,30.12,30.85,929385
19-Jun-15,30.66,30.93,29.65,30.17,1016122
18-Jun-15,30.90,31.09,30.51,30.78,828377
17-Jun-15,30.85,31.20,30.41,30.69,658812
16-Jun-15,30.68,31.00,30.21,30.85,721573
15-Jun-15,30.02,30.98,29.86,30.90,699818
12-Jun-15,30.32,31.23,30.13,30.46,833854
11-Jun-15,30.01,30.72,29.84,30.68,649749
10-Jun-15,29.24,30.38,29.16,29.96,923708
9-Jun-15,29.42,29.55,28.72,28.88,638128
8-Jun-15,30.80,30.83,29.32,29.45,1177474
5-Jun-15,29.40,30.72,29.33,30.72,1575249
4-Jun-15,29.42,29.66,28.86,29.06,505988
3-Jun-15,29.21,29.79,28.82,29.72,882049
2-Jun-15,28.18,29.05,27.74,29.00,1038834
1-Jun-15,28.93,29.01,28.09,28.41,803901
29-May-15,29.59,29.73,28.61,28.75,1035943
28-May-15,29.67,30.38,29.13,29.60,1699174
27-May-15,27.96,28.44,27.45,28.40,1177307
26-May-15,28.10,28.56,27.70,27.92,782497
22-May-15,28.64,28.75,28.12,28.24,764292
21-May-15,27.86,28.87,27.80,28.67,1056804
20-May-15,27.76,27.86,26.68,27.17,1146817
19-May-15,29.03,29.29,27.62,27.66,1415398
18-May-15,29.32,29.95,28.96,28.97,666751
15-May-15,29.00,29.80,28.72,29.40,769723
14-May-15,29.70,29.97,28.73,28.88,739583
13-May-15,29.10,29.85,28.96,29.30,879380
12-May-15,28.38,28.97,27.91,28.69,619295
11-May-15,28.19,29.18,28.19,28.57,793073
8-May-15,28.03,28.40,27.35,28.10,775148
7-May-15,27.01,27.28,26.20,26.92,855941
6-May-15,28.11,28.29,26.83,27.14,1037762
5-May-15,29.01,29.19,27.61,28.07,849783
4-May-15,29.22,30.00,28.90,28.92,1103703
1-May-15,28.04,29.12,28.04,28.77,589777
30-Apr-15,28.80,29.01,27.90,28.02,1081071
29-Apr-15,28.93,29.88,28.90,29.19,700949
28-Apr-15,28.55,29.54,28.01,29.42,858298
27-Apr-15,29.24,29.52,28.38,28.63,574682
24-Apr-15,29.44,29.53,28.92,29.07,449926
23-Apr-15,28.89,29.54,28.80,29.41,603900
22-Apr-15,28.75,29.52,28.73,29.13,565824
21-Apr-15,28.87,29.30,28.72,28.78,721667
20-Apr-15,28.80,28.92,28.36,28.56,639949
17-Apr-15,28.70,28.83,27.59,27.93,1161867
16-Apr-15,29.10,29.58,29.00,29.46,877304
15-Apr-15,28.80,29.34,28.43,29.21,598642
14-Apr-15,29.25,29.25,28.18,28.70,906651
13-Apr-15,28.98,29.46,28.86,29.26,869512
10-Apr-15,28.36,29.20,28.22,28.80,835228
9-Apr-15,28.04,28.56,27.87,28.33,942971
8-Apr-15,27.59,28.48,27.29,27.92,1105833
7-Apr-15,27.50,28.26,27.20,27.38,1084311
6-Apr-15,26.74,27.43,26.48,27.21,545176
2-Apr-15,26.74,27.35,26.43,26.76,667712
1-Apr-15,25.66,27.00,25.35,26.71,1214820
31-Mar-15,25.67,26.13,25.55,25.64,732023
30-Mar-15,26.81,26.90,25.58,26.04,659030
27-Mar-15,25.78,26.42,25.67,26.39,571790
26-Mar-15,25.58,26.09,25.30,25.82,920388
25-Mar-15,27.42,27.57,25.69,26.08,1356810
24-Mar-15,26.38,27.33,26.30,27.09,1102050
23-Mar-15,25.28,26.59,25.04,26.07,1126641
20-Mar-15,25.40,25.54,24.93,25.32,1059968
19-Mar-15,24.81,25.46,24.68,25.07,776930
18-Mar-15,23.75,25.29,23.58,24.88,1709491
17-Mar-15,22.00,24.34,22.00,24.30,2206031
16-Mar-15,22.60,22.60,22.00,22.25,799522
13-Mar-15,22.58,22.77,21.84,22.59,885509
12-Mar-15,22.57,23.50,22.57,22.81,799590
