Date,Open,High,Low,Close,Volume
15-Sep-15,48.09,49.39,47.81,48.97,1274031
14-Sep-15,47.99,48.66,47.02,48.07,1207750
11-Sep-15,47.55,48.95,47.45,48.14,822136
10-Sep-15,46.93,48.33,46.49,48.12,1070859
9-Sep-15,50.09,50.40,47.00,47.11,2392298
8-Sep-15,50.26,50.48,49.49,50.10,1072578
4-Sep-15,48.87,51.00,48.10,49.09,1690114
3-Sep-15,49.74,51.10,49.29,49.79,3116081
2-Sep-15,47.28,49.46,46.20,49.42,1540135
1-Sep-15,47.07,47.60,46.00,46.16,2969510
31-Aug-15,47.16,49.35,46.44,48.28,1992636
28-Aug-15,46.55,49.68,46.55,48.00,3560309
27-Aug-15,44.79,47.89,44.62,46.23,6014141
26-Aug-15,45.55,45.72,40.06,43.05,6214715
25-Aug-15,47.82,47.82,43.37,43.63,4650474
24-Aug-15,37.11,48.53,34.65,43.87,10598737
21-Aug-15,46.10,46.30,40.75,40.99,13149415
20-Aug-15,48.60,49.07,46.58,46.98,2238924
19-Aug-15,50.00,50.62,48.40,49.18,1805422
18-Aug-15,49.55,50.75,49.28,50.62,1681947
17-Aug-15,48.70,49.95,47.26,49.94,2587359
14-Aug-15,50.01,50.66,47.79,48.81,2058044
13-Aug-15,50.25,51.32,49.44,50.06,2038486
12-Aug-15,48.50,51.25,46.15,50.86,5699084
11-Aug-15,50.58,50.80,48.75,48.79,3350204
10-Aug-15,53.02,53.09,50.76,51.17,3572385
7-Aug-15,55.22,55.28,50.25,52.25,6551533
6-Aug-15,60.00,60.60,54.51,55.34,4943954
5-Aug-15,59.50,61.72,59.00,60.17,3710474
4-Aug-15,57.78,59.35,57.20,59.00,2480255
3-Aug-15,58.17,58.25,56.64,57.92,2178338
31-Jul-15,59.40,59.73,57.59,58.00,2505462
30-Jul-15,59.32,59.90,55.68,59.58,4138114
29-Jul-15,56.07,58.22,55.79,58.05,3415834
28-Jul-15,54.37,56.06,53.58,56.03,2089768
27-Jul-15,53.95,54.88,53.25,54.69,1391731
24-Jul-15,55.20,55.75,53.88,54.62,2260296
23-Jul-15,55.49,56.10,53.35,53.67,1888222
22-Jul-15,55.90,56.44,55.31,55.36,1546883
21-Jul-15,56.00,56.59,55.12,56.20,1832159
20-Jul-15,55.01,56.96,53.76,55.77,4768577
17-Jul-15,52.80,53.16,51.62,52.15,1553540
16-Jul-15,52.81,53.33,52.52,52.80,1269253
15-Jul-15,54.17,54.32,52.31,52.54,1586269
14-Jul-15,53.41,55.00,53.10,54.26,1753036
13-Jul-15,53.31,53.92,52.79,53.39,1623510
10-Jul-15,52.80,53.19,51.98,53.00,1207207
9-Jul-15,52.53,53.08,51.70,51.98,1442260
8-Jul-15,52.35,52.90,50.92,51.48,1843732
7-Jul-15,51.74,53.37,50.84,53.21,2978990
6-Jul-15,51.50,52.19,51.11,51.75,1608260
2-Jul-15,52.47,52.67,51.05,52.27,1731289
1-Jul-15,53.77,54.21,52.07,52.40,2669278
30-Jun-15,53.52,54.20,52.29,53.55,2191037
29-Jun-15,54.70,55.42,52.48,53.27,3162900
