Date,Open,High,Low,Close,Volume
15-Sep-15,73.28,73.82,72.70,73.59,8408816
14-Sep-15,73.40,73.40,72.34,72.84,5997558
11-Sep-15,73.47,73.72,72.27,73.70,8359761
10-Sep-15,74.55,74.84,72.89,74.07,8237017
9-Sep-15,75.66,77.24,74.24,74.40,10927152
8-Sep-15,75.30,75.86,74.74,75.54,7189525
4-Sep-15,75.13,75.39,74.42,75.00,9072165
3-Sep-15,76.16,77.52,75.02,76.26,11091033
2-Sep-15,76.66,76.90,73.86,75.41,12993053
1-Sep-15,75.30,76.57,74.84,75.42,14970038
31-Aug-15,75.13,77.71,74.61,77.37,17008402
28-Aug-15,74.10,76.86,73.28,76.06,15702909
27-Aug-15,72.30,73.99,70.90,73.85,28622068
26-Aug-15,71.05,71.94,68.01,70.09,58004323
25-Aug-15,76.60,76.61,72.50,72.52,12085158
24-Aug-15,73.92,76.30,73.02,73.87,17350861
21-Aug-15,78.80,79.90,77.50,77.50,11130514
20-Aug-15,80.47,81.83,79.44,79.44,8483777
19-Aug-15,82.37,82.94,80.40,80.67,9410304
18-Aug-15,83.55,83.78,82.62,83.15,5106455
17-Aug-15,83.06,83.85,83.06,83.50,4845407
14-Aug-15,84.02,85.12,83.52,83.86,4201472
13-Aug-15,84.39,84.69,83.44,84.09,5908478
12-Aug-15,83.99,85.04,82.87,84.83,6745871
11-Aug-15,82.97,84.45,82.56,84.36,6088436
10-Aug-15,82.20,84.48,82.16,84.44,6776568
7-Aug-15,83.22,83.85,81.95,82.25,6275920
6-Aug-15,82.13,84.19,81.75,83.59,8265712
5-Aug-15,82.94,83.95,82.13,82.50,5812519
4-Aug-15,82.34,83.00,81.87,82.27,4707309
3-Aug-15,82.04,83.15,81.66,82.08,6808840
31-Jul-15,83.10,83.51,82.63,82.82,5568630
30-Jul-15,84.06,84.42,83.08,83.52,4653503
29-Jul-15,82.00,84.27,81.92,83.89,8491144
28-Jul-15,82.54,83.06,81.15,82.50,8330598
27-Jul-15,82.00,82.50,81.25,81.76,7186179
24-Jul-15,85.75,85.80,82.66,82.90,8745808
23-Jul-15,85.23,86.61,84.92,86.02,6419279
22-Jul-15,83.98,85.86,83.55,85.26,10588986
21-Jul-15,83.38,85.29,83.12,84.30,7809215
20-Jul-15,84.24,84.53,83.44,83.52,7110838
17-Jul-15,84.21,84.95,83.17,83.71,9097834
16-Jul-15,84.58,84.76,83.67,83.89,6623529
15-Jul-15,84.76,84.98,83.52,83.63,8792945
14-Jul-15,84.40,86.11,84.18,85.29,6151599
13-Jul-15,84.02,84.48,83.47,84.29,5613661
10-Jul-15,84.28,84.55,83.24,83.96,6512167
9-Jul-15,84.28,84.34,83.33,83.55,7410506
8-Jul-15,83.94,84.46,82.58,82.92,6747014
7-Jul-15,83.63,84.64,82.22,84.20,9442329
6-Jul-15,82.87,84.23,82.40,83.49,7612688
2-Jul-15,84.60,84.89,83.94,84.01,7607217
1-Jul-15,86.42,86.69,83.92,84.30,10109039
30-Jun-15,86.38,86.49,85.01,86.19,8043459
29-Jun-15,85.60,86.61,85.55,85.66,7008397
26-Jun-15,86.39,87.32,86.07,86.67,25487302
25-Jun-15,87.36,87.72,86.67,86.67,5865803
24-Jun-15,87.26,88.12,87.03,87.51,6565598
23-Jun-15,86.68,88.08,86.49,88.00,5930958
22-Jun-15,86.91,87.24,85.80,86.97,7415392
19-Jun-15,87.57,87.77,86.23,86.62,13888646
18-Jun-15,90.09,90.55,88.60,88.63,7862814
17-Jun-15,90.03,90.62,89.20,89.67,4656449
16-Jun-15,89.60,89.78,89.10,89.69,3731674
15-Jun-15,89.41,89.80,88.70,89.43,5330493
12-Jun-15,90.24,90.60,89.82,90.15,3997843
11-Jun-15,91.63,91.68,90.54,90.67,5134637
10-Jun-15,90.98,91.82,90.73,91.63,6045616
9-Jun-15,90.16,90.63,89.79,89.86,5077769
8-Jun-15,89.83,90.67,89.14,89.37,7115204
5-Jun-15,89.69,91.72,89.54,90.17,7120039
4-Jun-15,90.84,91.34,90.00,90.07,6451771
3-Jun-15,91.28,92.47,91.08,91.36,3967209
2-Jun-15,91.06,92.61,90.75,91.50,5290611
1-Jun-15,90.19,91.05,89.68,90.65,5003319
29-May-15,91.02,91.65,90.76,90.77,6089695
28-May-15,90.66,90.84,89.72,90.65,4400280
27-May-15,90.09,91.69,90.09,91.00,5406845
26-May-15,91.12,91.69,90.25,90.74,6106654
22-May-15,91.46,92.34,90.77,92.02,4104163
21-May-15,91.36,92.67,90.78,92.03,5117024
20-May-15,90.70,91.18,89.82,90.75,4476315
19-May-15,91.74,91.74,89.94,90.56,6212991
18-May-15,91.96,93.00,91.65,92.75,4023607
15-May-15,91.85,92.69,91.17,92.14,4640458
14-May-15,92.80,93.25,91.90,92.17,5266416
13-May-15,93.12,93.17,91.77,92.51,5913632
12-May-15,91.38,92.94,91.14,92.47,5088142
11-May-15,93.39,93.41,91.67,91.77,7335809
8-May-15,91.32,92.56,90.13,92.43,6078858
7-May-15,91.61,91.68,89.57,90.23,8670070
6-May-15,92.71,93.57,91.55,92.27,6665451
5-May-15,93.66,94.41,92.03,92.04,7349816
4-May-15,94.18,94.18,92.38,92.98,4993711
1-May-15,94.48,94.89,92.81,93.00,6926695
30-Apr-15,94.23,95.13,93.43,94.61,8166595
29-Apr-15,92.58,94.40,91.90,94.28,8134066
