Date,Open,High,Low,Close,Volume
15-Sep-15,22.70,23.53,22.70,23.45,819941
14-Sep-15,23.12,23.16,22.37,22.72,778721
11-Sep-15,22.97,23.52,22.69,23.18,758704
10-Sep-15,23.55,24.01,23.20,23.25,1042262
9-Sep-15,24.58,24.87,23.70,23.78,915342
8-Sep-15,23.39,24.13,23.14,24.09,1039896
4-Sep-15,23.16,23.49,22.78,22.88,1056836
3-Sep-15,22.97,24.33,22.76,23.66,1336712
2-Sep-15,23.29,23.29,22.28,22.95,1095637
1-Sep-15,23.05,24.01,22.72,22.82,1448893
31-Aug-15,24.09,24.80,23.70,24.26,987631
28-Aug-15,23.68,25.05,23.61,24.32,1602878
27-Aug-15,22.90,23.87,22.60,23.87,2063155
26-Aug-15,23.51,23.62,21.38,22.34,2600049
25-Aug-15,23.22,23.96,22.75,22.76,1941868
24-Aug-15,19.19,23.14,18.25,22.30,2878913
21-Aug-15,23.03,23.37,21.70,21.72,2322575
20-Aug-15,24.11,24.14,23.31,23.34,1454918
19-Aug-15,24.39,24.75,23.56,24.43,2008872
18-Aug-15,25.15,25.75,24.62,24.81,1662239
17-Aug-15,24.80,25.39,24.42,25.26,1082608
14-Aug-15,24.63,25.33,24.50,25.09,1501427
13-Aug-15,25.08,25.71,24.44,24.50,921206
12-Aug-15,24.60,25.24,23.92,25.00,1915971
11-Aug-15,25.75,26.00,24.63,24.93,1655914
10-Aug-15,25.33,26.14,25.28,26.04,1416473
7-Aug-15,26.02,26.24,24.90,25.09,2091438
6-Aug-15,27.62,27.65,26.03,26.09,2778154
5-Aug-15,27.71,28.45,27.48,27.57,2410670
4-Aug-15,26.43,26.88,26.10,26.72,1123757
3-Aug-15,27.06,27.45,26.26,26.50,1618686
31-Jul-15,28.35,28.35,26.84,27.03,1863145
30-Jul-15,28.31,28.84,27.85,28.39,2138501
29-Jul-15,26.22,29.00,26.19,28.24,5486754
28-Jul-15,25.95,26.00,24.95,25.66,3257481
27-Jul-15,25.07,25.35,24.52,25.11,1606878
24-Jul-15,25.89,25.98,25.21,25.45,1209635
23-Jul-15,25.95,26.29,25.58,25.63,1350902
22-Jul-15,25.81,26.11,25.38,25.68,1387680
21-Jul-15,26.24,26.48,25.76,25.98,1653547
20-Jul-15,27.11,27.26,26.26,26.32,1774345
17-Jul-15,27.06,27.23,26.55,26.72,927384
16-Jul-15,27.57,27.67,26.64,27.01,992385
15-Jul-15,28.29,28.29,27.00,27.17,1681530
14-Jul-15,27.68,28.84,27.61,28.03,3068178
13-Jul-15,26.40,27.20,26.20,26.98,1665215
10-Jul-15,26.35,26.56,26.09,26.29,1122478
9-Jul-15,26.96,27.19,25.80,25.98,1755195
8-Jul-15,26.48,27.02,25.89,26.02,1812824
7-Jul-15,26.81,27.32,25.50,26.99,2666781
6-Jul-15,27.25,27.31,26.40,26.83,1884516
2-Jul-15,28.00,28.17,27.22,27.49,1392373
1-Jul-15,28.70,28.99,27.69,27.90,1486245
30-Jun-15,28.90,29.10,28.22,28.41,1538616
29-Jun-15,29.14,29.99,28.59,28.73,1527150
26-Jun-15,30.97,30.97,30.00,30.17,1297974
25-Jun-15,31.58,31.66,30.92,30.96,889655
24-Jun-15,32.14,32.29,31.43,31.50,835108
