Date,Open,High,Low,Close,Volume
15-Sep-15,60.80,61.72,60.04,61.44,5840522
14-Sep-15,62.69,62.69,60.62,60.73,5835087
11-Sep-15,62.50,63.23,61.89,62.91,5347196
10-Sep-15,61.64,63.59,61.60,62.95,7088707
9-Sep-15,61.20,62.90,61.06,61.64,8970700
8-Sep-15,59.59,61.19,59.35,60.83,7428164
4-Sep-15,58.58,59.69,57.87,58.46,6323279
3-Sep-15,59.06,60.50,59.06,59.40,7003121
2-Sep-15,58.27,59.04,57.05,59.01,7724003
1-Sep-15,58.03,58.30,56.65,57.40,9612342
31-Aug-15,58.69,60.88,58.21,59.34,9326075
28-Aug-15,58.84,59.79,58.29,59.00,7686550
27-Aug-15,60.62,60.71,56.66,58.35,11148870
26-Aug-15,58.97,59.12,56.44,58.85,9098946
25-Aug-15,60.73,61.00,57.54,57.61,9937489
24-Aug-15,55.71,60.45,51.68,58.52,10953693
21-Aug-15,65.00,65.13,61.10,61.14,12583938
20-Aug-15,67.60,68.54,67.10,67.25,5956323
19-Aug-15,69.35,69.37,67.34,67.87,6032780
18-Aug-15,69.63,70.00,68.65,69.47,3978504
17-Aug-15,67.70,69.86,67.57,69.72,4713730
14-Aug-15,69.39,69.69,67.78,68.12,6132419
13-Aug-15,70.29,71.50,69.17,69.68,8978531
12-Aug-15,70.01,70.78,68.56,70.19,8781688
11-Aug-15,68.12,70.63,67.60,70.43,7584826
10-Aug-15,65.97,69.04,65.77,69.00,8464170
7-Aug-15,65.12,65.70,64.45,65.42,3951123
6-Aug-15,64.51,65.93,64.00,65.68,5102986
5-Aug-15,65.37,66.00,64.14,64.82,7818736
4-Aug-15,64.74,65.12,63.67,64.43,5994597
3-Aug-15,65.55,66.33,64.50,64.66,5330692
31-Jul-15,64.16,66.24,63.97,65.60,7003316
30-Jul-15,64.85,64.85,62.79,64.23,9201547
29-Jul-15,64.97,66.16,63.80,66.04,7178993
28-Jul-15,64.42,65.24,63.51,65.07,4990475
